id_campo,etiqueta,descripcion,tipo,orden_de_calculo,formula,origen,formato,unidades,visualizable,comparable,en_mv,en_localidades
uds_vv_turisticas_porc_avg,Media para Porcentaje de viviendas vacacionales en zonas turísticas,Media para Porcentaje de viviendas vacacionales en zonas turísticas,media,485,avg(uds_vv_turisticas_porc),,porcentaje_2,,f,f,f,f
plazas_vv_residenciales_porc_avg,Media para Porcentaje de plazas vacacionales en zonas residenciales,Media para Porcentaje de plazas vacacionales en zonas residenciales,media,490,avg(plazas_vv_residenciales_porc),,porcentaje_2,,f,f,f,f
plazas_vv_turisticas_porc_avg,Media para Porcentaje de plazas vacacionales en zonas turísticas,Media para Porcentaje de plazas vacacionales en zonas turísticas,media,495,avg(plazas_vv_turisticas_porc),,porcentaje_2,,f,f,f,f
plazas_at_residenciales_porc_avg,Media para Porcentaje de plazas regladas en zonas residenciales,Media para Porcentaje de plazas regladas en zonas residenciales,media,500,avg(plazas_at_residenciales_porc),,porcentaje_2,,f,f,f,f
plazas_at_turisticas_porc_avg,Media para Porcentaje de plazas regladas en zonas turísticas,Media para Porcentaje de plazas regladas en zonas turísticas,media,505,avg(plazas_at_turisticas_porc),,porcentaje_2,,f,f,f,f
pte_v_porc_avg,Media para Porcentaje de población turística equivalente vacacional sobre PTE,Media para Porcentaje de población turística equivalente vacacional sobre PTE,media,510,avg(pte_v_porc),,porcentaje_2,,f,f,f,f
pte_r_porc_avg,Media para Porcentaje de población turística equivalente reglada sobre PTE,Media para Porcentaje de población turística equivalente reglada sobre PTE,media,515,avg(pte_r_porc),,porcentaje_2,,f,f,f,f
pte_v_total_poblacion_porc_avg,Media para Porcentaje de población turística equivalente vacacional sobre población total,Media para Porcentaje de población turística equivalente vacacional sobre población total,media,520,avg(pte_v_total_poblacion_porc),,porcentaje_2,,f,f,f,f
pte_r_total_poblacion_porc_avg,Media para Porcentaje de población turística equivalente reglada sobre población total,Media para Porcentaje de población turística equivalente reglada sobre población total,media,525,avg(pte_r_total_poblacion_porc),,porcentaje_2,,f,f,f,f
poblacion_total_poblacion_porc_avg,Media para Porcentaje de población censada sobre población total,Media para Porcentaje de población censada sobre población total,media,530,avg(poblacion_total_poblacion_porc),,porcentaje_2,,f,f,f,f
